2024-01-26 13:49:33,320 - INFO - Opción errónea, inténtelo otra vez.
2024-01-26 13:50:48,081 - INFO - Opción errónea, inténtelo otra vez.
2024-01-26 13:50:53,571 - INFO - Opción errónea, inténtelo otra vez.
2024-01-26 15:12:53,294 - INFO - Recuerde utilizar el comando: python Apollo11.py --opcion valor_cambiado, para modificar valores desde consola.

De lo contrario, continue con el siguiente Menu:
2024-01-26 15:13:11,993 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:11,994 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:12,046 - INFO - Se ha generado un hash
2024-01-26 15:13:12,046 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,046 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,046 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:12,046 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:12,047 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:12,098 - INFO - Se ha generado un hash
2024-01-26 15:13:12,098 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,098 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,098 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:12,099 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:12,103 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:12,155 - INFO - Se ha generado un hash
2024-01-26 15:13:12,155 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,155 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,156 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:12,156 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:12,162 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:12,213 - INFO - Se ha generado un hash
2024-01-26 15:13:12,213 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,213 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,214 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:12,214 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:12,219 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:12,270 - INFO - Se ha generado un hash
2024-01-26 15:13:12,270 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,272 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,272 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:12,272 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:12,276 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:12,328 - INFO - Se ha generado un hash
2024-01-26 15:13:12,328 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,329 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,329 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:12,329 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:12,334 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:12,386 - INFO - Se ha generado un hash
2024-01-26 15:13:12,387 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,387 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,387 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:12,387 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:12,392 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:12,443 - INFO - Se ha generado un hash
2024-01-26 15:13:12,443 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,443 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,444 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:12,444 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:12,449 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:12,501 - INFO - Se ha generado un hash
2024-01-26 15:13:12,501 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,501 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,501 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:12,501 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:12,507 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:12,559 - INFO - Se ha generado un hash
2024-01-26 15:13:12,559 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,559 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,560 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:12,560 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:12,565 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:12,617 - INFO - Se ha generado un hash
2024-01-26 15:13:12,618 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,618 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,618 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:12,618 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:12,624 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:12,674 - INFO - Se ha generado un hash
2024-01-26 15:13:12,674 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,674 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,675 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:12,675 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:12,680 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:12,732 - INFO - Se ha generado un hash
2024-01-26 15:13:12,733 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,733 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,733 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:12,733 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:12,738 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:12,789 - INFO - Se ha generado un hash
2024-01-26 15:13:12,789 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,789 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,790 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:12,790 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:12,795 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:12,848 - INFO - Se ha generado un hash
2024-01-26 15:13:12,848 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,848 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,849 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:12,849 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:12,856 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:12,907 - INFO - Se ha generado un hash
2024-01-26 15:13:12,907 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,907 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,907 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:12,907 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:12,910 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:12,981 - INFO - Se ha generado un hash
2024-01-26 15:13:12,981 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,981 - INFO - Listado de misiones Creado
2024-01-26 15:13:12,982 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:12,982 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:12,986 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:13,036 - INFO - Se ha generado un hash
2024-01-26 15:13:13,036 - INFO - Listado de misiones Creado
2024-01-26 15:13:13,036 - INFO - Listado de misiones Creado
2024-01-26 15:13:13,036 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:13,036 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:13,037 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:13,089 - INFO - Se ha generado un hash
2024-01-26 15:13:13,089 - INFO - Listado de misiones Creado
2024-01-26 15:13:13,089 - INFO - Listado de misiones Creado
2024-01-26 15:13:13,090 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:13,090 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:13,092 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:13,143 - INFO - Se ha generado un hash
2024-01-26 15:13:13,143 - INFO - Listado de misiones Creado
2024-01-26 15:13:13,143 - INFO - Listado de misiones Creado
2024-01-26 15:13:13,143 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:13,143 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:13,146 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:13,198 - INFO - Se ha generado un hash
2024-01-26 15:13:13,198 - INFO - Listado de misiones Creado
2024-01-26 15:13:13,198 - INFO - Listado de misiones Creado
2024-01-26 15:13:13,198 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:13,198 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:13,201 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:13,252 - INFO - Se ha generado un hash
2024-01-26 15:13:13,252 - INFO - Listado de misiones Creado
2024-01-26 15:13:13,252 - INFO - Listado de misiones Creado
2024-01-26 15:13:13,252 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:13,252 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:13,255 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:13,307 - INFO - Se ha generado un hash
2024-01-26 15:13:13,307 - INFO - Listado de misiones Creado
2024-01-26 15:13:13,307 - INFO - Listado de misiones Creado
2024-01-26 15:13:13,307 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:13,307 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:13,308 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:13,359 - INFO - Se ha generado un hash
2024-01-26 15:13:13,359 - INFO - Listado de misiones Creado
2024-01-26 15:13:13,359 - INFO - Listado de misiones Creado
2024-01-26 15:13:13,359 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:13,359 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:13,360 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:13,411 - INFO - Se ha generado un hash
2024-01-26 15:13:13,411 - INFO - Listado de misiones Creado
2024-01-26 15:13:13,411 - INFO - Listado de misiones Creado
2024-01-26 15:13:13,412 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:13,412 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:13,416 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:13,468 - INFO - Se ha generado un hash
2024-01-26 15:13:13,468 - INFO - Listado de misiones Creado
2024-01-26 15:13:13,468 - INFO - Listado de misiones Creado
2024-01-26 15:13:13,468 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:13,469 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:13,473 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:13,524 - INFO - Se ha generado un hash
2024-01-26 15:13:13,524 - INFO - Listado de misiones Creado
2024-01-26 15:13:13,524 - INFO - Listado de misiones Creado
2024-01-26 15:13:13,524 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:13,525 - INFO - Listado de estados generado correctamente
